"date","hits","geo","time","keyword","gprop","category"
2019-05-18,55,"DE","today 1-m","Aldi Nord","web",0
2019-05-19,86,"DE","today 1-m","Aldi Nord","web",0
2019-05-20,87,"DE","today 1-m","Aldi Nord","web",0
2019-05-21,51,"DE","today 1-m","Aldi Nord","web",0
2019-05-22,55,"DE","today 1-m","Aldi Nord","web",0
2019-05-23,68,"DE","today 1-m","Aldi Nord","web",0
2019-05-24,56,"DE","today 1-m","Aldi Nord","web",0
2019-05-25,60,"DE","today 1-m","Aldi Nord","web",0
2019-05-26,84,"DE","today 1-m","Aldi Nord","web",0
2019-05-27,93,"DE","today 1-m","Aldi Nord","web",0
2019-05-28,62,"DE","today 1-m","Aldi Nord","web",0
2019-05-29,67,"DE","today 1-m","Aldi Nord","web",0
2019-05-30,48,"DE","today 1-m","Aldi Nord","web",0
2019-05-31,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-01,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-02,100,"DE","today 1-m","Aldi Nord","web",0
2019-06-03,91,"DE","today 1-m","Aldi Nord","web",0
2019-06-04,66,"DE","today 1-m","Aldi Nord","web",0
2019-06-05,75,"DE","today 1-m","Aldi Nord","web",0
2019-06-06,75,"DE","today 1-m","Aldi Nord","web",0
2019-06-07,53,"DE","today 1-m","Aldi Nord","web",0
2019-06-08,55,"DE","today 1-m","Aldi Nord","web",0
2019-06-09,68,"DE","today 1-m","Aldi Nord","web",0
2019-06-10,71,"DE","today 1-m","Aldi Nord","web",0
2019-06-11,86,"DE","today 1-m","Aldi Nord","web",0
2019-06-12,69,"DE","today 1-m","Aldi Nord","web",0
2019-06-13,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-14,56,"DE","today 1-m","Aldi Nord","web",0
2019-06-15,61,"DE","today 1-m","Aldi Nord","web",0
2019-05-18,55,"DE","today 1-m","Aldi Nord","web",0
2019-05-19,86,"DE","today 1-m","Aldi Nord","web",0
2019-05-20,87,"DE","today 1-m","Aldi Nord","web",0
2019-05-21,51,"DE","today 1-m","Aldi Nord","web",0
2019-05-22,55,"DE","today 1-m","Aldi Nord","web",0
2019-05-23,68,"DE","today 1-m","Aldi Nord","web",0
2019-05-24,56,"DE","today 1-m","Aldi Nord","web",0
2019-05-25,60,"DE","today 1-m","Aldi Nord","web",0
2019-05-26,84,"DE","today 1-m","Aldi Nord","web",0
2019-05-27,93,"DE","today 1-m","Aldi Nord","web",0
2019-05-28,62,"DE","today 1-m","Aldi Nord","web",0
2019-05-29,67,"DE","today 1-m","Aldi Nord","web",0
2019-05-30,48,"DE","today 1-m","Aldi Nord","web",0
2019-05-31,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-01,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-02,100,"DE","today 1-m","Aldi Nord","web",0
2019-06-03,91,"DE","today 1-m","Aldi Nord","web",0
2019-06-04,66,"DE","today 1-m","Aldi Nord","web",0
2019-06-05,75,"DE","today 1-m","Aldi Nord","web",0
2019-06-06,75,"DE","today 1-m","Aldi Nord","web",0
2019-06-07,53,"DE","today 1-m","Aldi Nord","web",0
2019-06-08,55,"DE","today 1-m","Aldi Nord","web",0
2019-06-09,68,"DE","today 1-m","Aldi Nord","web",0
2019-06-10,71,"DE","today 1-m","Aldi Nord","web",0
2019-06-11,86,"DE","today 1-m","Aldi Nord","web",0
2019-06-12,69,"DE","today 1-m","Aldi Nord","web",0
2019-06-13,64,"DE","today 1-m","Aldi Nord","web",0
2019-06-14,56,"DE","today 1-m","Aldi Nord","web",0
2019-06-15,61,"DE","today 1-m","Aldi Nord","web",0
2019-03-18,85,"DE","today 3-m","Aldi Nord","web",0
2019-03-19,52,"DE","today 3-m","Aldi Nord","web",0
2019-03-20,58,"DE","today 3-m","Aldi Nord","web",0
2019-03-21,63,"DE","today 3-m","Aldi Nord","web",0
2019-03-22,47,"DE","today 3-m","Aldi Nord","web",0
2019-03-23,59,"DE","today 3-m","Aldi Nord","web",0
2019-03-24,100,"DE","today 3-m","Aldi Nord","web",0
2019-03-25,97,"DE","today 3-m","Aldi Nord","web",0
2019-03-26,65,"DE","today 3-m","Aldi Nord","web",0
2019-03-27,70,"DE","today 3-m","Aldi Nord","web",0
2019-03-28,86,"DE","today 3-m","Aldi Nord","web",0
2019-03-29,51,"DE","today 3-m","Aldi Nord","web",0
2019-03-30,57,"DE","today 3-m","Aldi Nord","web",0
2019-03-31,99,"DE","today 3-m","Aldi Nord","web",0
2019-04-01,84,"DE","today 3-m","Aldi Nord","web",0
2019-04-02,58,"DE","today 3-m","Aldi Nord","web",0
2019-04-03,54,"DE","today 3-m","Aldi Nord","web",0
2019-04-04,66,"DE","today 3-m","Aldi Nord","web",0
2019-04-05,50,"DE","today 3-m","Aldi Nord","web",0
2019-04-06,53,"DE","today 3-m","Aldi Nord","web",0
2019-04-07,84,"DE","today 3-m","Aldi Nord","web",0
2019-04-08,95,"DE","today 3-m","Aldi Nord","web",0
2019-04-09,55,"DE","today 3-m","Aldi Nord","web",0
2019-04-10,62,"DE","today 3-m","Aldi Nord","web",0
2019-04-11,65,"DE","today 3-m","Aldi Nord","web",0
2019-04-12,53,"DE","today 3-m","Aldi Nord","web",0
2019-04-13,61,"DE","today 3-m","Aldi Nord","web",0
2019-04-14,97,"DE","today 3-m","Aldi Nord","web",0
2019-04-15,93,"DE","today 3-m","Aldi Nord","web",0
2019-04-16,62,"DE","today 3-m","Aldi Nord","web",0
2019-04-17,70,"DE","today 3-m","Aldi Nord","web",0
2019-04-18,57,"DE","today 3-m","Aldi Nord","web",0
2019-04-19,45,"DE","today 3-m","Aldi Nord","web",0
2019-04-20,56,"DE","today 3-m","Aldi Nord","web",0
2019-04-21,65,"DE","today 3-m","Aldi Nord","web",0
2019-04-22,84,"DE","today 3-m","Aldi Nord","web",0
2019-04-23,95,"DE","today 3-m","Aldi Nord","web",0
2019-04-24,78,"DE","today 3-m","Aldi Nord","web",0
2019-04-25,93,"DE","today 3-m","Aldi Nord","web",0
2019-04-26,59,"DE","today 3-m","Aldi Nord","web",0
2019-04-27,69,"DE","today 3-m","Aldi Nord","web",0
2019-04-28,100,"DE","today 3-m","Aldi Nord","web",0
2019-04-29,83,"DE","today 3-m","Aldi Nord","web",0
2019-04-30,51,"DE","today 3-m","Aldi Nord","web",0
2019-05-01,66,"DE","today 3-m","Aldi Nord","web",0
2019-05-02,73,"DE","today 3-m","Aldi Nord","web",0
2019-05-03,44,"DE","today 3-m","Aldi Nord","web",0
2019-05-04,58,"DE","today 3-m","Aldi Nord","web",0
2019-05-05,78,"DE","today 3-m","Aldi Nord","web",0
2019-05-06,86,"DE","today 3-m","Aldi Nord","web",0
2019-05-07,52,"DE","today 3-m","Aldi Nord","web",0
2019-05-08,59,"DE","today 3-m","Aldi Nord","web",0
2019-05-09,59,"DE","today 3-m","Aldi Nord","web",0
2019-05-10,51,"DE","today 3-m","Aldi Nord","web",0
2019-05-11,48,"DE","today 3-m","Aldi Nord","web",0
2019-05-12,69,"DE","today 3-m","Aldi Nord","web",0
2019-05-13,73,"DE","today 3-m","Aldi Nord","web",0
2019-05-14,54,"DE","today 3-m","Aldi Nord","web",0
2019-05-15,56,"DE","today 3-m","Aldi Nord","web",0
2019-05-16,66,"DE","today 3-m","Aldi Nord","web",0
2019-05-17,55,"DE","today 3-m","Aldi Nord","web",0
2019-05-18,49,"DE","today 3-m","Aldi Nord","web",0
2019-05-19,75,"DE","today 3-m","Aldi Nord","web",0
2019-05-20,75,"DE","today 3-m","Aldi Nord","web",0
2019-05-21,46,"DE","today 3-m","Aldi Nord","web",0
2019-05-22,49,"DE","today 3-m","Aldi Nord","web",0
2019-05-23,63,"DE","today 3-m","Aldi Nord","web",0
2019-05-24,60,"DE","today 3-m","Aldi Nord","web",0
2019-05-25,59,"DE","today 3-m","Aldi Nord","web",0
2019-05-26,85,"DE","today 3-m","Aldi Nord","web",0
2019-05-27,87,"DE","today 3-m","Aldi Nord","web",0
2019-05-28,57,"DE","today 3-m","Aldi Nord","web",0
2019-05-29,60,"DE","today 3-m","Aldi Nord","web",0
2019-05-30,51,"DE","today 3-m","Aldi Nord","web",0
2019-05-31,60,"DE","today 3-m","Aldi Nord","web",0
2019-06-01,59,"DE","today 3-m","Aldi Nord","web",0
2019-06-02,98,"DE","today 3-m","Aldi Nord","web",0
2019-06-03,88,"DE","today 3-m","Aldi Nord","web",0
2019-06-04,61,"DE","today 3-m","Aldi Nord","web",0
2019-06-05,66,"DE","today 3-m","Aldi Nord","web",0
2019-06-06,65,"DE","today 3-m","Aldi Nord","web",0
2019-06-07,51,"DE","today 3-m","Aldi Nord","web",0
2019-06-08,51,"DE","today 3-m","Aldi Nord","web",0
2019-06-09,71,"DE","today 3-m","Aldi Nord","web",0
2019-06-10,65,"DE","today 3-m","Aldi Nord","web",0
2019-06-11,78,"DE","today 3-m","Aldi Nord","web",0
2019-06-12,63,"DE","today 3-m","Aldi Nord","web",0
2019-06-13,57,"DE","today 3-m","Aldi Nord","web",0
2019-06-14,47,"DE","today 3-m","Aldi Nord","web",0
2019-06-15,52,"DE","today 3-m","Aldi Nord","web",0
2019-06-16,75,"DE","today 3-m","Aldi Nord","web",0
2018-06-24,73,"DE","today 12-m","Aldi Nord","web",0
2018-07-01,75,"DE","today 12-m","Aldi Nord","web",0
2018-07-08,76,"DE","today 12-m","Aldi Nord","web",0
2018-07-15,71,"DE","today 12-m","Aldi Nord","web",0
2018-07-22,77,"DE","today 12-m","Aldi Nord","web",0
2018-07-29,76,"DE","today 12-m","Aldi Nord","web",0
2018-08-05,70,"DE","today 12-m","Aldi Nord","web",0
2018-08-12,73,"DE","today 12-m","Aldi Nord","web",0
2018-08-19,76,"DE","today 12-m","Aldi Nord","web",0
2018-08-26,93,"DE","today 12-m","Aldi Nord","web",0
2018-09-02,78,"DE","today 12-m","Aldi Nord","web",0
2018-09-09,80,"DE","today 12-m","Aldi Nord","web",0
2018-09-16,74,"DE","today 12-m","Aldi Nord","web",0
2018-09-23,81,"DE","today 12-m","Aldi Nord","web",0
2018-09-30,83,"DE","today 12-m","Aldi Nord","web",0
2018-10-07,86,"DE","today 12-m","Aldi Nord","web",0
2018-10-14,84,"DE","today 12-m","Aldi Nord","web",0
2018-10-21,89,"DE","today 12-m","Aldi Nord","web",0
2018-10-28,100,"DE","today 12-m","Aldi Nord","web",0
2018-11-04,92,"DE","today 12-m","Aldi Nord","web",0
2018-11-11,96,"DE","today 12-m","Aldi Nord","web",0
2018-11-18,100,"DE","today 12-m","Aldi Nord","web",0
2018-11-25,95,"DE","today 12-m","Aldi Nord","web",0
2018-12-02,89,"DE","today 12-m","Aldi Nord","web",0
2018-12-09,93,"DE","today 12-m","Aldi Nord","web",0
2018-12-16,91,"DE","today 12-m","Aldi Nord","web",0
2018-12-23,88,"DE","today 12-m","Aldi Nord","web",0
2018-12-30,83,"DE","today 12-m","Aldi Nord","web",0
2019-01-06,74,"DE","today 12-m","Aldi Nord","web",0
2019-01-13,71,"DE","today 12-m","Aldi Nord","web",0
2019-01-20,74,"DE","today 12-m","Aldi Nord","web",0
2019-01-27,75,"DE","today 12-m","Aldi Nord","web",0
2019-02-03,72,"DE","today 12-m","Aldi Nord","web",0
2019-02-10,72,"DE","today 12-m","Aldi Nord","web",0
2019-02-17,66,"DE","today 12-m","Aldi Nord","web",0
2019-02-24,70,"DE","today 12-m","Aldi Nord","web",0
2019-03-03,75,"DE","today 12-m","Aldi Nord","web",0
2019-03-10,75,"DE","today 12-m","Aldi Nord","web",0
2019-03-17,86,"DE","today 12-m","Aldi Nord","web",0
2019-03-24,99,"DE","today 12-m","Aldi Nord","web",0
2019-03-31,84,"DE","today 12-m","Aldi Nord","web",0
2019-04-07,88,"DE","today 12-m","Aldi Nord","web",0
2019-04-14,91,"DE","today 12-m","Aldi Nord","web",0
2019-04-21,99,"DE","today 12-m","Aldi Nord","web",0
2019-04-28,89,"DE","today 12-m","Aldi Nord","web",0
2019-05-05,78,"DE","today 12-m","Aldi Nord","web",0
2019-05-12,79,"DE","today 12-m","Aldi Nord","web",0
2019-05-19,83,"DE","today 12-m","Aldi Nord","web",0
2019-05-26,84,"DE","today 12-m","Aldi Nord","web",0
2019-06-02,88,"DE","today 12-m","Aldi Nord","web",0
2019-06-09,81,"DE","today 12-m","Aldi Nord","web",0
2014-06-22,66,"DE","today+5-y","Aldi Nord","web",0
2014-06-29,59,"DE","today+5-y","Aldi Nord","web",0
2014-07-06,67,"DE","today+5-y","Aldi Nord","web",0
2014-07-13,62,"DE","today+5-y","Aldi Nord","web",0
2014-07-20,68,"DE","today+5-y","Aldi Nord","web",0
2014-07-27,67,"DE","today+5-y","Aldi Nord","web",0
2014-08-03,64,"DE","today+5-y","Aldi Nord","web",0
2014-08-10,64,"DE","today+5-y","Aldi Nord","web",0
2014-08-17,75,"DE","today+5-y","Aldi Nord","web",0
2014-08-24,76,"DE","today+5-y","Aldi Nord","web",0
2014-08-31,68,"DE","today+5-y","Aldi Nord","web",0
2014-09-07,67,"DE","today+5-y","Aldi Nord","web",0
2014-09-14,68,"DE","today+5-y","Aldi Nord","web",0
2014-09-21,81,"DE","today+5-y","Aldi Nord","web",0
2014-09-28,66,"DE","today+5-y","Aldi Nord","web",0
2014-10-05,66,"DE","today+5-y","Aldi Nord","web",0
2014-10-12,67,"DE","today+5-y","Aldi Nord","web",0
2014-10-19,75,"DE","today+5-y","Aldi Nord","web",0
2014-10-26,78,"DE","today+5-y","Aldi Nord","web",0
2014-11-02,76,"DE","today+5-y","Aldi Nord","web",0
2014-11-09,73,"DE","today+5-y","Aldi Nord","web",0
2014-11-16,82,"DE","today+5-y","Aldi Nord","web",0
2014-11-23,91,"DE","today+5-y","Aldi Nord","web",0
2014-11-30,88,"DE","today+5-y","Aldi Nord","web",0
2014-12-07,92,"DE","today+5-y","Aldi Nord","web",0
2014-12-14,78,"DE","today+5-y","Aldi Nord","web",0
2014-12-21,76,"DE","today+5-y","Aldi Nord","web",0
2014-12-28,87,"DE","today+5-y","Aldi Nord","web",0
2015-01-04,71,"DE","today+5-y","Aldi Nord","web",0
